NAME	DESCRIPTION	ctrl_1	ctrl_2	ctrl_3	exp_1	exp_2	exp_3
ENSMUSG00000073460		5.83702674531303	3.1008007202613	4.90536340937286	5.8643778064878	5.57014533923036	0
ENSMUSG00000057388		1031.20805833863	933.34101679865	1011.32242289904	798.532777983423	785.39049283148	800.533011363116
ENSMUSG00000068039		17900.2153522933	17642.5224980467	17096.8266028009	17714.3305607975	15583.8741228317	16843.3885879955
ENSMUSG00000064637		1.94567558177101	1.0336002400871	0	0	0	1.74028915513721
ENSMUSG00000062480		6.80986453619853	8.26880192069679	0.81756056822881	4.8869815054065	1.39253633480759	5.22086746541162
ENSMUSG00000023832		267.530392493514	222.224051618726	244.450609900414	188.637486108691	189.384941533832	220.146578124857
ENSMUSG00000089695		0.972837790885505	4.13440096034839	3.27024227291524	1.9547926021626	1.39253633480759	0
ENSMUSG00000060475		652.774157684174	627.395345732869	631.97431924087	753.572548133683	683.735340390526	817.065758336919
ENSMUSG00000006818		4893.37408815409	4637.76427727081	4834.23563993695	5017.9526097514	4808.4279640906	5066.85187518198
ENSMUSG00000117042		15.5654046541681	9.30240216078389	17.168771932805	23.4575112259512	26.4581903613442	29.5849156373325
ENSMUSG00000085705		0	2.0672004801742	0	0	0	0
ENSMUSG00000038347		21.4024313994811	33.0752076827872	20.4390142057203	7.8191704086504	18.1029723524987	11.3118795083919
ENSMUSG00000068036		1414.50614794752	1607.24837333544	1377.58955746555	1860.9625572588	1868.78376131178	1791.62768521376
ENSMUSG00000089883		3.89135116354202	1.0336002400871	0.81756056822881	0.977396301081301	0	0.870144577568604
ENSMUSG00000115221		5.83702674531303	1.0336002400871	1.63512113645762	2.9321889032439	8.35521800884553	3.48057831027442
ENSMUSG00000067941		2.91851337265651	1.0336002400871	2.45268170468643	1.9547926021626	2.78507266961518	2.61043373270581
ENSMUSG00000048826		9.72837790885505	10.336002400871	10.6282873869745	53.7567965594715	25.0656540265366	34.8057831027442
ENSMUSG00000117185		0.972837790885505	0	0.81756056822881	0	0	0.870144577568604
ENSMUSG00000117254		11.6740534906261	8.26880192069679	5.72292397760167	5.8643778064878	5.57014533923036	4.35072288784302
ENSMUSG00000023886		14.5925668632826	9.30240216078389	16.3512113645762	34.2088705378455	27.8507266961518	33.065493947607
ENSMUSG00000023885		111.876345951833	127.132829530713	100.559949892144	253.145641980057	179.637187190179	242.770337141641
